ID,EMPRESA,ANO,DISTRIBUICAO_DO_VALOR_ADICIONADO,RECEITAS,RESULTADO_FINANCEIRO,DESPESAS_RECEITAS_OPERACIONAIS,CUSTO_DOS_BENS_OU_SERVICOS_VENDIDOS,IMPOSTOS_ESTADUAIS,RECEITA_VENDAS_BENS_OU_SERVICOS
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2017,294852.0,374165.0,21556.0,-77280.0,-237936.0,0.0,353778.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2018,299126.0,391996.0,17847.0,-84974.0,-254588.0,0.0,374866.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2019,325716.0,441808.0,17270.0,-76052.0,-281515.0,0.0,406453.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2020,848934.0,192835.0,5161.0,654305.0,-125419.0,0.0,180880.0
115,SUL 116 PARTICIPACOES S.A.,2009,1608.0,0.0,7038.0,-6553.0,0.0,0.0,0.0
115,SUL 116 PARTICIPACOES S.A.,2010,3822.0,0.0,3858.0,-1438.0,0.0,0.0,0.0
115,SUL 116 PARTICIPACOES S.A.,2011,2959.0,0.0,4044.0,-1608.0,0.0,0.0,0.0
115,SUL 116 PARTICIPACOES S.A.,2012,1793.0,0.0,3058.0,-1589.0,0.0,0.0,0.0
115,SUL 116 PARTICIPACOES S.A.,2019,-3355.0,0.0,260.0,-3808.0,0.0,0.0,0.0
115,SUL 116 PARTICIPACOES S.A.,2020,-439.0,0.0,52.0,-626.0,0.0,0.0,0.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2009,2528.0,4452.0,1135.0,-2195.0,-634.0,61.0,1419.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2010,13020.0,6844.0,1096.0,5656.0,-1021.0,77.0,3777.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2011,51358.0,8253.0,1288.0,44233.0,-1489.0,73.0,3363.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2012,-4694.0,6906.0,332.0,-8559.0,-3546.0,202.0,3080.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2013,16916.0,20610.0,-1399.0,13425.0,-277.0,130.0,486.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2014,-42447.0,1710.0,-2525.0,-46502.0,0.0,0.0,0.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2015,-50633.0,1927.0,-7578.0,-52536.0,0.0,1.0,0.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2016,-74449.0,1683.0,-9536.0,-75677.0,0.0,0.0,0.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2017,57277.0,36122.0,-1014.0,45936.0,0.0,0.0,0.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2018,44848.0,1802.0,-3921.0,33891.0,0.0,0.0,0.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2019,-8099.0,1819.0,-4501.0,-12930.0,0.0,0.0,0.0
116,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,2020,-41806.0,1969.0,-8681.0,-46359.0,0.0,0.0,0.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2009,13102.0,37038.0,5267.0,-10336.0,-28809.0,0.0,41605.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2010,23480.0,35417.0,4789.0,-12736.0,-14491.0,0.0,35006.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2011,27856.0,39270.0,6241.0,-17546.0,-12405.0,0.0,38246.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2012,18952.0,25011.0,3115.0,-6369.0,-11625.0,0.0,25011.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2013,16347.0,20910.0,2738.0,-12173.0,-5568.0,0.0,20910.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2014,16641.0,16656.0,2910.0,-11060.0,-2525.0,0.0,16656.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2015,18675.0,17986.0,3611.0,-12187.0,-2042.0,0.0,17986.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2016,20894.0,21040.0,3545.0,-13798.0,-1381.0,0.0,21040.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2017,22272.0,22357.0,2673.0,-14069.0,-509.0,0.0,22357.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2018,10532.0,12762.0,1973.0,-11788.0,-541.0,0.0,12762.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2019,6221.0,11286.0,567.0,-13374.0,-157.0,0.0,11286.0
117,VIRGO II COMPANHIA DE SECURITIZACAO,2020,7597.0,6079.0,-699.0,-786.0,-483.0,0.0,6079.0
118,PORTO SEGURO S.A.,2009,1330021.0,2683801.0,533845.0,-117412.0,0.0,169.0,0.0
118,PORTO SEGURO S.A.,2010,2092052.0,3833208.0,709743.0,196108.0,0.0,696.0,0.0
118,PORTO SEGURO S.A.,2011,2255482.0,4133738.0,870331.0,-74108.0,0.0,145.0,0.0
118,PORTO SEGURO S.A.,2012,2607532.0,4776782.0,945609.0,9311.0,0.0,114.0,0.0
118,PORTO SEGURO S.A.,2013,2806895.0,6101622.0,958132.0,1268234.0,0.0,215.0,0.0
118,PORTO SEGURO S.A.,2014,3143879.0,6793770.0,905880.0,426673.0,0.0,0.0,0.0
118,PORTO SEGURO S.A.,2015,3571772.0,7729214.0,1069575.0,-15114626.0,0.0,14009.0,15457182.0
118,PORTO SEGURO S.A.,2016,3728723.0,7851624.0,1218506.0,-16015060.0,0.0,24898.0,16134566.0
118,PORTO SEGURO S.A.,2017,4069695.0,8512446.0,1130742.0,-16492158.0,0.0,36709.0,16894102.0
118,PORTO SEGURO S.A.,2018,4677227.0,9403476.0,925927.0,-16581806.0,0.0,26639.0,17821958.0
118,PORTO SEGURO S.A.,2019,4535151.0,9916125.0,1039102.0,-17092738.0,0.0,4492.0,18080692.0
118,PORTO SEGURO S.A.,2020,5193445.0,10912179.0,921072.0,-16935804.0,0.0,665.0,18619960.0
119,DEXXOS PARTICIPAÇÕES S.A.,2009,222976.0,621249.0,-18362.0,-71467.0,-400232.0,28946.0,501551.0
119,DEXXOS PARTICIPAÇÕES S.A.,2010,219134.0,713060.0,-51102.0,-93896.0,-428893.0,33859.0,554976.0
119,DEXXOS PARTICIPAÇÕES S.A.,2011,174846.0,755525.0,-75247.0,-127939.0,-493813.0,34220.0,615248.0
119,DEXXOS PARTICIPAÇÕES S.A.,2012,194262.0,785826.0,-54129.0,-111085.0,-508637.0,31684.0,611078.0
119,DEXXOS PARTICIPAÇÕES S.A.,2013,164541.0,442457.0,-70449.0,92674.0,-312336.0,17878.0,349282.0
119,DEXXOS PARTICIPAÇÕES S.A.,2014,136345.0,471004.0,-38570.0,-39609.0,-316303.0,19241.0,367488.0
119,DEXXOS PARTICIPAÇÕES S.A.,2015,144026.0,506206.0,-63010.0,-62553.0,-329138.0,23951.0,397670.0
119,DEXXOS PARTICIPAÇÕES S.A.,2016,261151.0,587122.0,-49033.0,14718.0,-345562.0,27710.0,437885.0
119,DEXXOS PARTICIPAÇÕES S.A.,2017,246894.0,702296.0,-32580.0,32473.0,-409369.0,28363.0,483875.0
119,DEXXOS PARTICIPAÇÕES S.A.,2018,247302.0,957982.0,-29481.0,-76100.0,-608724.0,46746.0,735142.0
119,DEXXOS PARTICIPAÇÕES S.A.,2019,269082.0,1030843.0,-32671.0,-96482.0,-651546.0,43817.0,797719.0
119,DEXXOS PARTICIPAÇÕES S.A.,2020,423696.0,1336677.0,-4980.0,-39885.0,-778797.0,29571.0,994701.0
120,UNIFIQUE TELECOMUNICAÇÕES S.A.,2020,246733.0,390268.0,-11957.0,-47372.0,-150359.0,79972.0,286048.0
121,LOCALIZA FLEET S.A.,2018,599712.0,1558457.0,-118364.0,-56993.0,-1059283.0,32761.0,1552533.0
121,LOCALIZA FLEET S.A.,2019,692837.0,1811788.0,-169773.0,-98803.0,-1131953.0,36747.0,1719921.0
121,LOCALIZA FLEET S.A.,2020,946630.0,2201765.0,-154041.0,-103558.0,-1241612.0,42588.0,2091103.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2010,87208.0,182155.0,116696.0,-35461.0,-192156.0,0.0,142781.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2011,58727.0,259304.0,110693.0,-72018.0,-223079.0,0.0,164093.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2012,29186.0,311957.0,18684.0,-113557.0,-192196.0,1568.0,174509.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2013,191746.0,264686.0,59717.0,-340.0,-188668.0,73.0,192834.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2014,81458.0,222828.0,70776.0,-80909.0,-157878.0,0.0,151102.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2015,162666.0,267415.0,87029.0,-56436.0,-162943.0,0.0,198444.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2016,181172.0,237824.0,77876.0,-33315.0,-173682.0,0.0,206607.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2017,317522.0,373064.0,45678.0,87274.0,-186268.0,0.0,209510.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2018,210393.0,343195.0,82217.0,-59870.0,-255250.0,0.0,316417.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2019,327412.0,510913.0,88938.0,-48619.0,-355524.0,0.0,439003.0
123,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,2020,472200.0,516912.0,127932.0,-63479.0,-240538.0,0.0,447131.0
124,TEGMA GESTAO LOGISTICA S.A.,2009,427143.0,1265046.0,-11744.0,-41782.0,-908615.0,67543.0,1069568.0
124,TEGMA GESTAO LOGISTICA S.A.,2010,493795.0,1387548.0,-9728.0,-41447.0,-957286.0,72141.0,1167171.0
124,TEGMA GESTAO LOGISTICA S.A.,2011,697912.0,1796325.0,-30988.0,-81393.0,-1249718.0,104219.0,1509364.0
124,TEGMA GESTAO LOGISTICA S.A.,2012,850923.0,2163732.0,-33096.0,-93199.0,-1551909.0,130413.0,1799681.0
124,TEGMA GESTAO LOGISTICA S.A.,2013,830685.0,2137389.0,-38879.0,-109609.0,-1552038.0,117202.0,1772493.0
124,TEGMA GESTAO LOGISTICA S.A.,2014,619752.0,2015539.0,-38844.0,-108932.0,-1195975.0,116549.0,1439553.0
124,TEGMA GESTAO LOGISTICA S.A.,2015,441775.0,1344919.0,-32955.0,-103979.0,-974454.0,78954.0,1122564.0
124,TEGMA GESTAO LOGISTICA S.A.,2016,381501.0,1084077.0,-29877.0,-85875.0,-781340.0,48516.0,923891.0
124,TEGMA GESTAO LOGISTICA S.A.,2017,419562.0,1259187.0,8784.0,-125223.0,-850043.0,48426.0,1083975.0
124,TEGMA GESTAO LOGISTICA S.A.,2018,494858.0,1464183.0,-9120.0,-104558.0,-995805.0,72779.0,1253779.0
124,TEGMA GESTAO LOGISTICA S.A.,2019,610400.0,1633529.0,22697.0,-44244.0,-1060475.0,80454.0,1347320.0
